,score,session_id
0,2.0503988932712735e-05,9703
1,-4.857072411161732e-06,23476
2,0.0,2495
3,4.564323068981003e-05,20609
4,0.0,5523
5,0.0,5115
6,2.10209831201085e-06,20591
7,4.074975692194341e-06,26617
8,-6.987429176229367e-06,7095
9,-3.0840825301467186e-06,18227
10,-4.931337614411076e-06,13005
11,-6.859272894258349e-06,14053
12,3.314692627259831e-05,28731
13,0.0,2763
14,-4.9130763416477634e-06,21526
15,0.0,28576
16,0.0,23732
17,-5.19180862897275e-06,7107
18,1.7650190337685746e-05,24673
19,0.0,12609
20,9.555714462113292e-06,13267
21,0.0,23878
22,-9.71817298347866e-06,13657
23,8.62450080445532e-06,25724
24,0.0,8926
25,-1.6861984792014246e-06,23860
26,4.937602905361396e-07,5773
27,-1.3753582925611779e-06,5514
28,0.0,9200
29,0.0,18760
30,5.553241704845322e-07,27686
31,1.3906242769216504e-05,26876
32,4.8050966418316304e-06,8393
33,2.1771920368577234e-05,1840
34,2.6805960479427974e-05,7738
35,0.0,13779
36,-1.7164708041058633e-07,789
37,1.2795594428248005e-05,2129
38,0.0,4740
39,1.3916391237245204e-05,17197
40,0.0,14967
41,-1.0528020732101611e-05,9706
42,0.0,7485
43,-4.0492387431163716e-08,9724
44,0.0,23613
45,1.072408913440064e-05,22172
46,1.5371236581148788e-05,9965
47,-4.211208292840644e-05,20201
48,0.0005066407515387071,28981
49,5.553241704845278e-07,1075
50,-1.2845813731957972e-05,23336
51,3.3734922540445524e-05,16527
52,-4.089060897498444e-06,4612
53,1.0040777169057174e-05,13240
54,-1.0238789393308492e-06,12743
55,-1.2957563977972404e-06,21901
56,0.0,21121
57,0.0,22303
58,7.814320381452402e-07,17319
59,2.6575793224557274e-06,5273
60,-3.158406219630411e-05,20070
61,0.0,143
62,-5.676296492622981e-06,20713
63,0.0,4749
64,-3.1758735240127685e-08,4356
65,8.098477486232627e-07,18772
66,-2.557413943020788e-08,18879
67,-5.938883489903888e-07,4618
68,0.0,15351
69,0.0,12323
70,-4.0128342471082756e-05,13377
71,0.0,24140
72,2.0564056592001613e-06,27680
73,2.429543245869769e-05,28457
74,0.0,9045
75,0.0,16143
76,0.0,18492
77,5.3165283290789966e-05,1602
78,8.092264837067769e-07,2260
79,4.787464098180936e-05,3424
